# klip-tpe vs IDL replay -- run_20260906_173000  annulus 1  contrast 6.00e-05
# 2026-09-12 01:28:47   n=178  (exact positions for 178)
# pearson 0.953  spearman 0.956 (p=1.2e-95)  PY = 0.895 IDL + 0.313   median PY/IDL 0.992  rms diff 0.542
# mean IDL 3.754  mean PY 3.671   best IDL 7.777 @row 155 (PY there 6.955)   best PY 7.012 @row 71 (IDL there 7.070)
# top-set overlap: top5 0.40  top10 0.60  top20 0.75
# iter   idl_score   py_score   py_raw   exact  k_idl
  3551     0.877     1.126     1.126   Y   19
  3576     6.280     5.896     6.813   Y   16
  3601     6.827     5.025     5.972   Y   16
  3626     3.104     3.103     3.426   Y   19
  3651     3.407     3.333     5.452   Y   20
  3676     3.318     3.135     3.135   Y   17
  3701     1.022     1.180     1.180   Y   12
  3726     3.883     3.351     4.416   Y   18
  3751     6.760     6.650     7.611   Y   20
  3776     4.825     5.197     7.732   Y   30
  3801     7.141     4.470     5.757   Y   16
  3826     6.606     6.745     7.481   Y   20
  3851     2.913     2.433     3.238   Y   17
  3876     3.294     3.211     3.616   Y   40
  3901     7.777     6.955     7.908   Y   14
  3926     5.371     5.600     6.551   Y   9
  3951     4.018     3.422     3.629   Y   20
  3976     3.503     3.054     3.979   Y   40
  4001     1.788     2.033     2.432   Y   9
  4026     4.554     4.248     4.560   Y   15
  4051     6.888     6.329     6.502   Y   14
  4076     2.605     2.708     2.708   Y   20
  4101     1.905     1.848     2.424   Y   15
  4126     5.249     4.992     5.161   Y   10
  4151     2.852     3.177     4.424   Y   12
  4176     2.075     2.391     3.152   Y   13
  4201     4.082     3.234     4.296   Y   25
  4226     0.660     0.644     0.894   Y   11
  4251     4.385     4.211     5.266   Y   20
  4276     4.389     4.198     4.797   Y   19
  4301     4.705     3.887     5.139   Y   15
  4326     3.709     3.255     4.784   Y   20
  4351     5.452     5.869     5.922   Y   25
  4376     5.811     4.014     5.089   Y   16
  4401     4.635     4.596     5.060   Y   15
  4426     3.776     3.950     4.166   Y   20
  4451     5.106     4.452     4.947   Y   20
